"","Week","No_Dep","Mild_Dep","Moderate_Dep","Severe_Dep","All_Dep","Mean_DScore","Treatment","Talk","Prob_of_Talking","Prob_of_Treatment","Environment"
"1",0,941,29.68,14.66,14.66,59,7.16566,96.4,109.22,10.0683009948,8.90493217892,10
"2",1,941.68,29.28,14.64,14.4,58.32,7.1854424781,91.76,106.6,10.07509937064,8.90872314196,10
"3",2,942.54,28.84,14.36,14.26,57.46,7.19993185058,93.78,105.84,10.08037106534,8.9141830705,10
"4",3,942.86,28.86,14.02,14.26,57.14,7.22211318208,94.72,106.88,10.08745073128,8.91805636824,10
"5",4,943.62,28.48,13.96,13.94,56.38,7.23682689546,93.36,106.02,10.09094915988,8.92082231338,10
"6",5,943.88,28.4,13.84,13.88,56.12,7.25867762518,92.14,107.62,10.10042573994,8.92281472778,10
"7",6,944.28,28.14,13.78,13.8,55.72,7.27620482116,93.48,105.54,10.10833263946,8.92717117766,10
"8",7,944.72,27.94,13.58,13.76,55.28,7.29753946982,93.58,106.14,10.11445492642,8.9284724158,10
"9",8,945.3,27.58,13.5,13.62,54.7,7.32048094124,95.16,106.34,10.1211079187,8.93142648452,10
"10",9,945.66,27.34,13.36,13.64,54.34,7.34558435994,91.94,105.86,10.13024531586,8.93561232072,10
"11",10,946.48,26.8,13.12,13.6,53.52,7.3604851488,95.6,107.16,10.13513365096,8.93824755894,10
"12",11,946.76,26.9,12.94,13.4,53.24,7.37795616044,96.06,107.36,10.14096549718,8.94147116196,10
"13",12,946.94,26.98,12.7,13.38,53.06,7.39394957418,95.84,107.26,10.1473924929,8.94313917372,10
"14",13,947.18,26.92,12.68,13.22,52.82,7.40930112602,96.6,107.42,10.15385081224,8.94640317146,10
"15",14,947.52,26.7,12.64,13.14,52.48,7.42893282614,93.22,105.78,10.15888801088,8.94708888792,10
"16",15,948.06,26.42,12.56,12.96,51.94,7.44843445724,93.94,103.8,10.1671013705,8.94787055432,10
"17",16,948.42,26.22,12.38,12.98,51.58,7.46693388518,93.98,108.3,10.17347253898,8.95260999066,10
"18",17,948.84,26.02,12.22,12.92,51.16,7.48442892128,95.56,106.56,10.182914076,8.95433036026,10
"19",18,949.1,25.98,12.16,12.76,50.9,7.50422415932,94.14,107.18,10.18880146508,8.95789779208,10
"20",19,949.48,26.02,11.94,12.56,50.52,7.5210291062,93.8,105.7,10.19702986326,8.96079617208,10
"21",20,949.54,26.08,11.88,12.5,50.46,7.5405837135,95.02,107.04,10.2050221176,8.96726400334,10
"22",21,950.16,25.88,11.5,12.46,49.84,7.55548893642,95.56,107.84,10.20989296678,8.97093893796,10
"23",22,950.44,25.96,11.3,12.3,49.56,7.57777430684,93.62,108.28,10.2179258375,8.97356369658,10
"24",23,950.54,26.18,11.02,12.26,49.46,7.59817570874,93.18,109.04,10.2228960005,8.97987855954,10
"25",24,951.12,25.9,10.82,12.16,48.88,7.61583366742,95.68,106.5,10.22883105808,8.98330912106,10
"26",25,951.28,26.02,10.68,12.02,48.72,7.63414703932,95.32,107.38,10.233183583,8.98914114456,10
"27",26,951.64,25.84,10.58,11.94,48.36,7.65229841698,92.22,107.1,10.2405920018,8.99048639518,10
"28",27,951.84,25.64,10.5,12.02,48.16,7.6712403069,94.6,106.4,10.24898468402,8.99314193756,10
