[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
3,1000,40,7.7,28,0,934,36,13,17,66,7.446,88,410,40.08129403,9.10360957,6.447580645,8.428571429,473,23,461,43,496,504
4,1000,40,7.7,28,0,942,24,17,17,58,7.133,105,369,40.15273408,8.890157368,6.152439024,8.082677165,473,19,469,39,492,508
7,1000,40,7.7,28,0,929,32,22,17,71,7.572,103,397,40.04703469,9.181689283,7.170040486,7.964426877,469,25,460,46,494,506
2,1000,40,7.7,28,0,918,36,16,30,82,7.776,101,410,39.88952644,9.261987461,6.670081967,8.830078125,459,29,459,53,488,512
6,1000,40,7.7,28,0,940,31,16,13,60,6.99,84,396,39.80572172,9.070461007,6.055445545,7.943434343,481,24,459,36,505,495
5,1000,40,7.7,28,0,956,22,12,10,44,6.722,100,415,39.95462912,8.551752367,6.223735409,7.248971193,492,22,464,22,514,486
8,1000,40,7.7,28,0,937,21,23,19,63,7.367,115,429,40.24950403,8.906617629,6.456273764,8.377637131,503,23,434,40,526,474
1,1000,40,7.7,28,0,942,33,14,11,58,7.088,94,396,39.82443356,8.824269843,6.373165618,7.739961759,457,20,485,38,477,523
4,1000,40,7.7,28,1,944,24,15,17,56,7.132476144,80,376,40.19357058,8.884502587,6.164777036,8.06969654,474,18,470,38,492,508
7,1000,40,7.7,28,1,930,33,22,15,70,7.555587935,111,406,40.07191212,9.196442287,7.202235225,7.900560739,469,25,461,45,494,506
5,1000,40,7.7,28,1,957,21,12,10,43,6.7420381,84,414,39.98509469,8.555137992,6.266553222,7.244917169,493,21,464,22,514,486
3,1000,40,7.7,28,1,934,36,13,17,66,7.482016925,89,403,40.0990319,9.117590659,6.505724448,8.442812696,472,24,462,42,496,504
6,1000,40,7.7,28,1,940,31,16,13,60,7.015505536,98,383,39.82402379,9.09249988,6.093989127,7.955638437,481,24,459,36,505,495
8,1000,40,7.7,28,1,937,22,23,18,63,7.375941955,89,388,40.29221718,8.918556014,6.496933361,8.351381872,503,23,434,40,526,474
2,1000,40,7.7,28,1,921,35,16,28,79,7.728415012,87,417,39.88082871,9.301380662,6.661954542,8.744885147,461,27,460,52,488,512
1,1000,40,7.7,28,1,943,33,12,12,57,7.111800189,92,374,39.82268716,8.83811908,6.366336086,7.791697658,458,19,485,38,477,523
4,1000,40,7.7,28,2,945,24,14,17,55,7.143922312,98,402,40.20756546,8.912246669,6.193026614,8.064868539,475,17,470,38,492,508
5,1000,40,7.7,28,2,959,20,11,10,41,6.735832251,100,416,40.00747605,8.566736058,6.255843314,7.243474871,494,20,465,21,514,486
3,1000,40,7.7,28,2,935,35,13,17,65,7.487752549,97,396,40.11202241,9.138446768,6.494675085,8.465066878,473,23,462,42,496,504
7,1000,40,7.7,28,2,933,32,21,14,67,7.560655679,76,399,40.09875372,9.203911702,7.231278896,7.882221155,469,25,464,42,494,506
6,1000,40,7.7,28,2,943,31,14,12,57,7.002986015,100,395,39.84459115,9.095477749,6.093094354,7.931259326,483,22,460,35,505,495
8,1000,40,7.7,28,2,936,24,23,17,64,7.397134822,107,393,40.3010754,8.925283296,6.508941372,8.382767217,503,23,433,41,526,474
4,1000,40,7.7,28,3,947,24,13,16,53,7.146385628,102,422,40.24469219,8.937141565,6.201231194,8.061771419,476,16,471,37,492,508
2,1000,40,7.7,28,2,920,38,16,26,80,7.760179369,83,399,39.91409482,9.318255267,6.712617592,8.758636688,462,26,458,54,488,512
1,1000,40,7.7,28,2,943,33,12,12,57,7.167363193,90,391,39.85143839,8.846487517,6.45780338,7.814514303,458,19,485,38,477,523
5,1000,40,7.7,28,3,958,21,11,10,42,6.757739845,96,405,40.028593,8.572097697,6.289160901,7.253315106,493,21,465,21,514,486
3,1000,40,7.7,28,3,936,34,13,17,64,7.51349819,98,399,40.13769188,9.150245387,6.513633951,8.497491568,473,23,463,41,496,504
6,1000,40,7.7,28,3,946,28,14,12,54,6.984273388,92,413,39.88983404,9.107586457,6.137737319,7.847911196,483,22,463,32,505,495
7,1000,40,7.7,28,3,935,31,20,14,65,7.576230253,95,401,40.09690691,9.223008833,7.253770902,7.891042348,470,24,465,41,494,506
8,1000,40,7.7,28,3,937,23,23,17,63,7.397126429,105,402,40.33794891,8.939991606,6.532588146,8.356508574,503,23,434,40,526,474
4,1000,40,7.7,28,4,947,24,13,16,53,7.176793299,83,404,40.25675874,8.948270418,6.238305336,8.085722586,476,16,471,37,492,508
2,1000,40,7.7,28,3,921,38,16,25,79,7.809222657,102,415,39.93054123,9.350445892,6.809886717,8.761714724,462,26,459,53,488,512
1,1000,40,7.7,28,3,943,33,12,12,57,7.212470941,90,438,39.8849621,8.866161383,6.512467835,7.850905897,458,19,485,38,477,523
5,1000,40,7.7,28,4,959,20,11,10,41,6.785057772,91,388,40.04728309,8.578772435,6.293765285,7.304655176,494,20,465,21,514,486
3,1000,40,7.7,28,4,937,34,12,17,63,7.531357645,109,390,40.17290586,9.157283762,6.530064733,8.516757018,474,22,463,41,496,504
6,1000,40,7.7,28,4,947,28,14,11,53,6.974629474,104,410,39.90906961,9.129203608,6.125141656,7.841278663,483,22,464,31,505,495
7,1000,40,7.7,28,4,936,31,19,14,64,7.614340061,105,420,40.12167568,9.239840092,7.306310382,7.915064689,470,24,466,40,494,506
8,1000,40,7.7,28,4,937,25,21,17,63,7.423276547,102,401,40.36014711,8.956239933,6.584511139,8.354058414,503,23,434,40,526,474
4,1000,40,7.7,28,5,947,24,13,16,53,7.193053634,93,363,40.26680434,8.939649876,6.255248666,8.101321439,477,15,470,38,492,508
2,1000,40,7.7,28,4,927,34,16,23,73,7.772853194,106,391,39.93160284,9.381668166,6.80148668,8.698686902,463,25,464,48,488,512
5,1000,40,7.7,28,5,959,22,10,9,41,6.789270914,87,404,40.0640957,8.60982013,6.264373498,7.344409333,495,19,464,22,514,486
1,1000,40,7.7,28,4,944,31,13,12,56,7.240402116,84,397,39.90082884,8.879997034,6.544347579,7.875235796,459,18,485,38,477,523
3,1000,40,7.7,28,5,934,37,11,18,66,7.57067015,107,406,40.19133262,9.170161723,6.532331572,8.592527163,473,23,461,43,496,504
7,1000,40,7.7,28,5,937,31,18,14,63,7.603573458,110,402,40.17990141,9.256890351,7.307840647,7.892292842,471,23,466,40,494,506
